Gene stable ID,Gene name,Mouse gene stable ID,Mouse gene name,%id. target Mouse gene identical to query gene,%id. query gene identical to target Mouse gene,"Mouse orthology confidence [0 low, 1 high]"
ENSG00000210049,MT-TF,,,,,
ENSG00000211459,MT-RNR1,,,,,
ENSG00000210077,MT-TV,,,,,
ENSG00000210082,MT-RNR2,,,,,
ENSG00000209082,MT-TL1,,,,,
ENSG00000198888,MT-ND1,ENSMUSG00000064341,mt-Nd1,77.044,77.044,1
ENSG00000210100,MT-TI,,,,,
ENSG00000210107,MT-TQ,,,,,
ENSG00000210112,MT-TM,,,,,
ENSG00000198763,MT-ND2,ENSMUSG00000064345,mt-Nd2,57.0605,57.3913,1
ENSG00000210117,MT-TW,,,,,
ENSG00000210127,MT-TA,,,,,
ENSG00000210135,MT-TN,,,,,
ENSG00000210140,MT-TC,,,,,
ENSG00000210144,MT-TY,,,,,
ENSG00000198804,MT-CO1,ENSMUSG00000064351,mt-Co1,90.8382,90.6615,1
ENSG00000210151,MT-TS1,,,,,
ENSG00000210154,MT-TD,,,,,
ENSG00000198712,MT-CO2,ENSMUSG00000064354,mt-Co2,71.3656,71.3656,1
ENSG00000210156,MT-TK,,,,,
ENSG00000228253,MT-ATP8,ENSMUSG00000064356,mt-Atp8,45.5882,46.2687,0
ENSG00000198899,MT-ATP6,ENSMUSG00000064357,mt-Atp6,75.6637,75.6637,1
ENSG00000198938,MT-CO3,ENSMUSG00000064358,mt-Co3,86.9732,86.9732,1
ENSG00000210164,MT-TG,,,,,
ENSG00000198840,MT-ND3,ENSMUSG00000064360,mt-Nd3,66.087,66.087,1
ENSG00000210174,MT-TR,,,,,
ENSG00000212907,MT-ND4L,ENSMUSG00000065947,mt-Nd4l,66.3265,66.3265,1
ENSG00000198886,MT-ND4,ENSMUSG00000064363,mt-Nd4,66.8845,66.8845,1
ENSG00000210176,MT-TH,,,,,
ENSG00000210184,MT-TS2,,,,,
ENSG00000210191,MT-TL2,,,,,
ENSG00000198786,MT-ND5,ENSMUSG00000064367,mt-Nd5,63.8474,63.4267,1
ENSG00000198695,MT-ND6,ENSMUSG00000064368,mt-Nd6,51.1494,51.7442,1
ENSG00000210194,MT-TE,,,,,
